DateTime,Comment
2018-11-21T04:57:43Z,"I don't know... I have a '17. Love it. Interior is very nice. I have a friend that has a ""loaded"" Mini. This is a head scratcher. Talk about cheap plastic! Maybe Mini is making the interiors on the Mustangs sent to the EU? The tip-off?: The steering wheel is on the wrong side for crying out loud!"
2018-11-08T11:57:35Z,"Europeans are such softies when it comes to interiors, always bitching about interior plastics as if they're connoisseurs of the stuff. As for the soft ride and poor visibility, it's a convertible for Allah's sake. And trunk space? What, really, do you expect? Look, buy the damn thing and you'll have more fun than you ever expected, and if you're single, you won't be for long."
2018-11-04T02:50:01Z,"Save fuel, save hassle, save the brash image and just buy a European german coupe."
2018-10-29T13:16:51Z,My dream starter car. Rip i have to get the i4 because of the gas money.
2018-10-09T17:43:13Z,interior? poeple are mad in europe 35 thousand for a convertible red mustang ? it's like heaven
2018-09-25T15:52:49Z,"you can always change the drive mode so the suspensions get stiffer, that is nothing wrong with mustang`s suspension, just you do not have enough knowledge to review an mustang"
2018-09-25T15:46:55Z,"This is not an 2018 mustang, instead it is from 2017 or even older"
2018-09-25T15:44:51Z,Strange that he did not mention it is an Ecoboost...
2018-09-23T01:36:15Z,Buy it ilove 5.0 GT
2018-09-11T10:22:51Z,"Guys I'm thinking about buy this American, and there are two concerns. GT or ECO? Convertible or coupe? I would appreciate any advice."
2018-09-09T23:51:05Z,I see you put that boost chocolate everywhere to advertise it! 😁
2018-09-06T10:43:48Z,Matt you're a bit of a pratt.  IF you want to be a credible reviewer you need to be more impartial. AS you are there are way better people better than you. Your fired....
2018-08-30T00:00:21Z,"All the journos say go 5.0. Why?

Cos they get free fuel for the test drives and literally get off on anything with a V8 under the bonnet.

For the UK market it makes so much sense to go V8 especially with the amount of remaps out there"
2018-08-04T12:08:30Z,in algeria where i live they are selling the new mustang but only the convertible still didnt get into algeria
2018-08-01T16:46:15Z,I'd feel more manly driving a Ka
2018-08-01T05:50:52Z,I wish all brits looked and sounded like Chris Martin!❤️
2018-07-29T17:51:46Z,Lap time on a Ford...cmon Mat doesnt make any sense LMAO
2018-07-24T07:33:39Z,Why?
2018-07-21T15:04:28Z,When he said 'rea-parking camera' I heard 'ripoff camera'
2018-07-12T23:03:44Z,"I like the car alot, but I couldn't drive the convertible, with the top down, without feeling really embarrassed."
2018-07-09T22:56:27Z,Better if come with hard top
2018-07-09T16:17:02Z,"I’m constantly annoyed by all car reviewers who all seem to judge every car by its inclusion or lack of a sporty nature. All cars have a mission; minivans=kid hauler, sedans=family car, convertibles=fun, etc.  Yes, a car can have multiple attributes, but every car will compromise those things that are outside of its primary purpose. I don’t expect a Porsche 911 GT2 to get the economy of a Ford Fiesta - that’s not its mission. 

As for the Mustang convertible, it’s a cruiser with sporty intentions - especially with the 4-banger. But at its price point, you’d be hard pressed to find something that offers the same fun per dollar which means there are compromises in materials, etc."
2018-07-05T15:00:01Z,"This car starts from 110, 000 Euros in the Netherlands.... nice eh?"
2018-07-02T02:15:26Z,I think Ford Mustangs only problem is they didn’t pay Matt enough to like it. I currently have this same car as a hire car and I think it’s great. Granted the roof catch is a little old school but otherwise I can’t fault it. Will be heading to the Ford dealer on my return for sure!
2018-06-29T22:05:41Z,Do you like this car? Remember the ford pinto? Said yes to both? Just wait till a cr....BANGGGGGGG....
2018-06-27T17:15:40Z,SI ES FORD NO ES IMPOSIBLE TENER UN CONVERTIBLE PARA VIAJAR SUAVE Y SONREIRME GUSTAVO A COLORADO H DE MEDELLIN ANTIOQUIA COLOMBIA GRACIAS HASTA SIGO EN FORD CONVERTIBLE..........
2018-06-19T07:52:40Z,Yah we all can't afford V8's hey! So thanx Ford for making something amazing affordable like back in 64 when you made Mustang affordable to everybody.
2018-06-14T23:10:28Z,"Matt, why did you not do the review with a V8 car? Disappointing"
2018-06-10T15:16:05Z,I wanted a review of the 2018 model as in the description. This car has 2016 plates.
2018-05-26T20:50:03Z,Reviewed the wrong Mustang mate
2018-05-24T20:11:19Z,"Just a heads up, this is not a 2018, this is a 2017."
2018-05-18T12:49:17Z,"""Wait a while....""  Kind of a douche comment.  What convertible DON""T you have to wait a while for?"
2018-05-14T05:57:46Z,"It's a Ford, so yeah, it's going to suck!"
2018-05-12T17:33:49Z,A Saab 93 convertible 175bhp would cost around the same as a Mustang back in 2003
2018-05-05T12:57:49Z,That boost candy though
2018-05-02T12:22:06Z,And.....it takes half that time to lower the roof. Dont exagerate.
2018-05-02T12:15:58Z,Under 6 seconds?  Just rented one in Arizona....  S and track mode and I got 7.9
2018-05-01T04:31:09Z,This is not a 2018....
2018-04-30T11:43:52Z,Why does it say 2018 Mustang in the title when this video is from 2016?
2018-04-29T05:10:41Z,this guy is kinda annoying with this terrible review.  trying to find every little thing to complain about.  it is a fuckin amazing car for the price.
2018-04-21T11:32:38Z,It sounds like you don&#39;t like this particular car and not the convertible as a whole
2018-04-19T07:10:50Z,Who will put a child seat in a Ford Mustang?😅
2018-04-17T02:22:23Z,2016 video reviewing 2018 car?
2018-04-16T19:48:47Z,"European will never understand the essence of American cars..you like your cars boring and predictable...much like you Europeans boring and conventional... that’s is why most of the revolutions ( iPhone, youtube, facebook, google etc) come from America!!!"
2018-04-16T03:39:39Z,Ford made a lot of upgrades to the interior and increased HP to 460 and added active exhaust and magnetic dampening shocks that this 2017 video misses  yes that is right - this review is on a 2017 model year not the much improved 2018 model year.
2018-04-13T22:49:28Z,"This is not the 2018 version, stop trying to click bait!"
2018-04-10T23:26:22Z,I don’t think he gets the us as Americans take pride in our shitty materials
2018-03-28T13:11:53Z,Why does it say 2018 model?
2018-03-25T13:48:43Z,Wow🤑🤑🤑🤑🤑🤑🤑💙💙💙💙💙💙💙💸💸💸💸💸💸
2018-03-24T21:36:02Z,hate how the title says 2018 but its posted on 2016
2018-03-22T10:42:02Z,pleas do the review of suzuki swift 2018 pleas
2018-03-15T03:54:20Z,"Hmmm, ... is this a 2018?   It seems to be missing the US 2018 updates."
2018-03-11T14:49:00Z,"This was published in 2016.... don’t tell me your remaining your titles with “2018” for more views car wow, not cool"
2018-03-07T09:31:59Z,And pls do a review of Lamborghini huracan
2018-03-03T16:49:37Z,This review annoys me. Stop comparing a convertible with a family car. Its not going to have the best &quot;door bins&quot;
2018-02-15T00:14:29Z,"That Dolphin communication joke cracked me up, have a like sir."
2018-02-13T08:03:12Z,🇸🇪             Looooooo
2018-02-04T14:00:12Z,"Ive had 4 range rovers and 2 jags , not a problem with non of them and thats why i buy british made cars ... NUFF SAID"
2018-02-03T19:44:54Z,"<a href=""https://www.youtube.com/watch?v=y1_6s-8Pagc&amp;t=1m30s"">1:30</a> looks like a dynosor looking for a prey"
2018-02-01T13:04:39Z,Buy a jaguar or range rover... best cars in the world <br>..british cars are the best
2018-01-23T11:53:52Z,Chacha kai rupiya k bate???
2018-01-22T23:33:57Z,MY DREAM CAR 🤩
2018-01-03T16:07:23Z,Is gorgeous
2017-12-20T20:35:10Z,I want a British boost now.  We only have the caramel/peanut Boost.  I like the cookie one better X(
2017-11-27T19:14:21Z,"if you click here, if you click there, now click here for more, and remember, here you can click...<br><br><br>oh... my...god...<br><br>every single video. after 10, you get used to it. after 100, you have so much enough"
2017-11-03T20:26:13Z,Some lame gripes on this review
2017-10-29T10:26:22Z,Didn’t they just release the Chevrolet Camaro in the uk? If they have you should do a video on that.
2017-09-08T00:26:05Z,Rented this bitch for a weekend and it was fun
2017-09-02T20:36:00Z,Planning on buying a used 2015 mustangv6 convertible are the convertibles good? I hear they are slower then the hard top??
2017-09-01T18:02:38Z,honor clear faculty finance shelf soldier.
2017-08-29T00:10:14Z,"Meh, this chap really does not understand this particular model. I completely disagree especially with the end, It should be a &quot;buy it.&quot; I am an owner of one and know how much fun this car is and how the four cylinder out performs all but the stoutest V8&#39;s out there while getting decent gas mileage. Home run Ford!!"
2017-08-27T01:35:25Z,It got a 2/5 star for safety in Australia...going 50-64 km your more likely to get serious chest injury compared to like a subaru...costing this much it should be much safer...so speed over safety?
2017-08-03T02:43:57Z,When your looking at a one bedroom condominium with Formica countertops and carpeting instead of solid wood floors you don&#39;t complain that it&#39;s not finished in higher cost materials because you&#39;re aware the price would be much higher. The gt model would be the condo with a great view and the four cylinder is in the back facing a brick wall. Both have carpet but you want the view. It&#39;s more exciting. <br><br>Forgot to mention. the marble countertops and Brazilian teak floors you want are down the street at the Porsche dealer. 
2017-08-02T22:07:51Z,"Definitely neat car and fun to drive and doesn&#39;t look like the other cars, and convertible is the way to go if you&#39;re in a warmer climate and the six does just fine although the V8 would be my pick."
2017-07-14T13:36:01Z,At that price we in India don&#39;t even get a Hyundai SantaFe
2017-07-03T19:15:05Z,What does this idiot expect? He sure knocks the car. My question: What does the UK or Europe for that matter make that would compare to this car in terms of price and what you get for the price?
2017-06-17T04:18:10Z,Love That Car
2017-05-06T13:38:40Z,"And if you buy this halo car for the Ford brand, you get the &quot;honour&quot; to drive around in the only car on the market, which Euro NCAP have scored only 2 stars in its crashtest in recent years. Its even worse than cars like the Fiat Doblo, which scored 3 stars. So well done Ford, great job.... Or something."
2017-05-01T12:41:36Z,the review shld have inproved the Sales but now after this review the Sales will drop further
2017-04-26T21:39:21Z,I love English people OMG You look like a forest gump Moron  Get GT next time
2017-03-25T07:35:24Z,555
2017-03-20T11:56:06Z,"If  you get the optional colour interior, a lot of the hard plastics are upholstered.  Available in the  Premium only.  Extra $$$ of course."
2017-03-09T23:13:14Z,That roof latch looks identical to the one used on the late 90&#39;s CLK. Ridiculous that they went for that mechanism.
2017-02-27T15:14:11Z,I own this car and compared to my other car (2007 Honda Accord) it is amazing.  Looks and power (I drive the ecoboost in the sport mode almost all the time - something that wasn&#39;t mentioned in this vid) are incomparable to so many pedestrian type cars.  Why does every sassy sounding Brit reviewer keep comparing this to a V8 version which costs 5k more?  This is a somewhat affordable and goes quite fast compared to most of the cars you&#39;ll see on the road around you.  As fast as a Porsche?  No.  As slow as a camel? No.  It just &quot;is what it is&quot; and it is a really fun (and quite fast in sport mode) car.
2017-02-27T00:45:14Z,I think the only thing the british care about is plastic. i have never seen a review by a british person that don&#39;t bitch about plastic. it&#39;s getting old
2017-02-19T18:38:13Z,"Dear Great Britain , sorry the mustang is a compromise between luxury &amp; affordability. Sorry it&#39;s goal is to be a fun car and not a speed demon or a rolling leather couch. Please feel free to totally customize your mustang to suit your taste. That&#39;s why there is such an enormous aftermarket to support the mustang owner."
2017-02-17T22:29:13Z,You do know this is a sports car. Maybe you should stick to the family wagon
2017-02-12T06:35:32Z,"<a href=""http://www.youtube.com/watch?v=y1_6s-8Pagc&amp;t=1m28s"">1:28</a> Raptor Pose!"
2017-02-10T15:40:55Z,NOOOOOOO THE DOOR BINS... NOOOOOOO
2017-02-05T20:43:45Z,What a big sissy Brit!
2017-01-28T17:30:14Z,euro ncap rating of two!!!!!! .... and it might just spontanuesly combust like a Ford kuga
2017-01-26T09:22:36Z,"<a href=""http://www.youtube.com/watch?v=y1_6s-8Pagc&amp;t=5m34s"">5:34</a> easy way to fix that, drive on the correct side of the road lol."
